zip_code,centroid_x,centroid_y
33194,1949396.6707010232,-1918946.1804167281
33556,1711011.036693006,-1693194.4699719907
33619,1736050.042119544,-1714595.5451578582
33716,1710745.4022088433,-1726215.2051932137
33810,1765176.8487226132,-1686495.9245698377
33838,1808872.993280093,-1689814.2162011329
33917,1809704.479149416,-1832359.8531019278
33947,1765658.5431735935,-1826217.4676778733
33990,1802399.4682033693,-1848014.223130321
34224,1761810.1282305005,-1823758.6575521012
34237,1733837.2190421394,-1782358.9779004336
34452,1720523.4621175837,-1624456.810439345
34602,1734993.1167896467,-1650782.9929912237
35080,1216891.384470765,-1210118.2794883382
35083,1232229.963075023,-1101885.2816548487
35097,1233965.5002501009,-1135153.2131338026
35116,1223482.3696050253,-1155579.933547284
35176,1251735.0122815566,-1179169.9237687758
35463,1148900.1517417317,-1242642.4533534194
35585,1117290.331138955,-1094532.1243556435
35661,1135380.0747937632,-1051637.7476162182
35744,1287769.6236633433,-1045811.2474436552
35904,1289470.4662995571,-1106189.3466432889
35983,1307699.6094993206,-1092397.1584788128
36022,1274134.8799583782,-1272414.2279299225
36066,1274458.7940386604,-1287780.4145608696
36088,1341053.635099963,-1283880.4394756008
36201,1305793.7228894029,-1151270.3527543948
36310,1401588.5155499084,-1365258.1531297711
36346,1334752.4935614374,-1381707.1729017813
36375,1379285.419162119,-1428242.2248748834
36474,1272181.9267829645,-1406543.222680031
36521,1130705.9185254953,-1479379.9389970638
36559,1162676.8319698619,-1518827.3207769282
36575,1124920.375880593,-1501844.6427721807
36607,1141747.194637899,-1507246.5964829838
36740,1141489.1540659051,-1292093.4147698493
34689,1695086.222091215,-1698751.3387905294
34773,1865136.5589207665,-1662947.6925437194
34952,1950173.4826416252,-1739942.8090388793
32009,1727234.9603563477,-1435463.658346684
32043,1758640.3939139005,-1484340.970838794
32086,1803768.2436769959,-1494132.174503933
32091,1723571.1727935744,-1491590.8751227336
32141,1858817.4770423963,-1576370.4390644243
32259,1769058.4219000884,-1466079.3373934852
32317,1524262.7954841368,-1470850.4220527136
32359,1608510.5661639175,-1545975.712619152
32408,1373580.5001468859,-1532366.9980381096
32440,1383235.5410798267,-1445149.4634590796
32464,1342958.813089046,-1454523.219300164
32626,1658970.096968582,-1562615.5857779984
32643,1675657.0874596806,-1514404.303791119
32703,1804932.8058102715,-1618591.1781649436
32805,1818474.6016168247,-1629899.6028393165
32825,1834037.5467319782,-1625690.7044309233
32826,1838798.3043488434,-1619131.3663422044
32937,1902137.4901953274,-1651431.6877636574
32962,1935865.6404169132,-1710414.696237833
33060,1988963.3282826953,-1851248.27087907
33126,1980410.7397474083,-1904635.7074559052
36784,1151790.082785507,-1366933.8126504745
36915,1101116.9510555563,-1372148.7696213655
35035,1215216.0792975808,-1234035.9492453877
35078,1259829.1843175113,-1195722.0803822065
35127,1208104.8759669461,-1184982.2473310125
35136,1280755.305246964,-1242226.3436648878
35146,1253228.0071797841,-1143971.9155657995
35206,1230994.4322949601,-1172521.950281667
35210,1235740.5105169832,-1174826.4629962067
35543,1126454.0703740397,-1116360.6220624505
35581,1127935.5331429818,-1099798.2576184429
35741,1234369.0737311547,-1042266.4354868075
35754,1225555.4314771143,-1066853.3488020408
35766,1250082.4704235417,-1022914.2010315864
35808,1219701.0353681385,-1054952.6834091041
35960,1326592.6303808144,-1094307.3106038498
36024,1307867.418430038,-1261751.6725944101
36105,1291255.2506917752,-1314716.846439722
36318,1338540.5471741406,-1423922.672082932
36376,1402001.6036261541,-1404628.1669871665
36456,1250729.4784894313,-1393711.5054313305
36483,1271782.9685148245,-1449610.3536982299
36540,1173446.5019242826,-1419182.9191102374
33140,1995936.7424175616,-1897002.413705501
33156,1982976.8331080056,-1916816.656600594
33160,1993850.6553679518,-1884240.9223045309
33161,1989742.3970133169,-1889716.4644245503
33176,1977043.0464387427,-1919180.0774766628
33179,1988746.3458832018,-1882641.6126991706
33308,1991342.1327700433,-1856014.7961322763
33330,1972609.210724528,-1874797.8268517992
33458,1973933.2524966411,-1775484.2899916635
33544,1730991.0738688603,-1679957.1614227064
33592,1741849.271376518,-1694686.0370097987
33617,1732719.763131755,-1703558.9096589056
33708,1697776.596253347,-1736332.9550146523
33801,1780907.4890841898,-1693356.7005666872
33843,1823972.3690939054,-1719008.3732618676
33922,1779021.4206295838,-1850046.593239701
34114,1849787.3385294979,-1910089.8492397515
34223,1757688.276652533,-1817717.479920397
34286,1774728.0435039634,-1801717.462569896
34471,1737096.8670528827,-1576002.0775900218
34604,1720708.36137025,-1656494.5396398215
34653,1699978.9032028506,-1687271.9228343673
34984,1947579.9031415472,-1746099.318775876
34997,1957607.922698232,-1766129.55165217
36576,1176347.8066030252,-1521629.6390345327
36750,1230954.6929896032,-1260796.0314259436
36860,1371264.471541775,-1296481.1559591354
30165,1350352.5325126727,-1070139.3454655875
35022,1212004.856149594,-1202350.602552391
35053,1191398.5412516368,-1124271.052798778
35063,1200184.1223140769,-1149053.5490483344
35147,1250114.6564244311,-1187219.840599783
35204,1220047.1326895857,-1179658.2974960036
35217,1226025.2366719826,-1169169.1723614524
35244,1223919.1385273254,-1198135.1232032364
35444,1180251.9227557955,-1206783.0738488382
35474,1161214.9989603115,-1254218.7615458253
35570,1104978.4956245031,-1124707.95053333
35587,1159814.374800405,-1157586.2221635296
35654,1134308.260984896,-1082957.670977159
35774,1256285.4146256063,-1034536.9509752025
35968,1302079.5304663216,-1058417.4421078593
35981,1309904.1057748883,-1029890.8278047397
36075,1323466.1101216318,-1290207.1416681907
36278,1344019.7859088387,-1182138.6805794565
36323,1323735.4276369861,-1398211.2420925812
36481,1196112.2427864175,-1379326.346180422
36558,1108422.8151010494,-1409455.5509256485
